Date,Close,Open,High,Low,Volume,Change %
22-Apr-22,"39,455.00","40,650.00","40,815.00","39,165.00",4.53K,-4.34%
21-Apr-22,"41,245.00","41,550.00","43,010.00","40,610.00",5.77K,0.02%
20-Apr-22,"41,235.00","41,335.00","42,295.00","40,895.00",3.73K,-0.69%
19-Apr-22,"41,520.00","40,825.00","41,820.00","40,585.00",3.70K,2.01%
18-Apr-22,"40,700.00","40,150.00","41,125.00","38,535.00",5.80K,2.60%
17-Apr-22,"39,670.00","39,912.50","40,325.00","39,515.00",-,-0.54%
15-Apr-22,"39,885.00","39,885.00","39,885.00","39,885.00",-,0.15%
14-Apr-22,"39,825.00","41,240.00","41,540.00","39,565.00",3.01K,-3.15%
13-Apr-22,"41,120.00","39,650.00","41,590.00","39,560.00",5.02K,4.66%
12-Apr-22,"39,290.00","39,410.00","40,805.00","39,190.00",5.56K,-1.66%
11-Apr-22,"39,955.00","42,710.00","42,805.00","39,460.00",5.95K,-5.14%
10-Apr-22,"42,120.00","43,180.00","43,535.00","41,912.50",-,-1.39%
8-Apr-22,"42,715.00","43,565.00","44,090.00","42,445.00",5.08K,-1.53%
7-Apr-22,"43,380.00","43,880.00","43,885.00","42,720.00",4.61K,-0.90%
6-Apr-22,"43,775.00","45,995.00","46,060.00","43,130.00",7.11K,-5.13%
5-Apr-22,"46,140.00","46,600.00","47,445.00","45,550.00",7.49K,0.12%
4-Apr-22,"46,085.00","47,225.00","47,610.00","45,205.00",5.29K,-1.05%
3-Apr-22,"46,572.50","46,622.50","47,617.50","46,410.00",-,0.05%
1-Apr-22,"46,550.00","45,865.00","46,910.00","44,345.00",5.69K,1.78%
31-Mar-22,"45,735.00","47,220.00","47,875.00","45,620.00",5.48K,-3.19%
30-Mar-22,"47,240.00","47,430.00","48,000.00","46,715.00",4.07K,-1.44%
29-Mar-22,"47,930.00","47,970.00","48,390.00","47,235.00",4.68K,7.70%
28-Mar-22,"44,504.00","47,045.00","48,465.00","46,867.50",-,-5.43%
27-Mar-22,"47,060.00","44,782.50","47,130.00","44,782.50",-,5.74%
25-Mar-22,"44,504.00","43,975.00","45,170.00","43,625.00",0.69K,1.23%
24-Mar-22,"43,965.00","42,430.00","44,340.00","42,345.00",11.12K,4.06%
23-Mar-22,"42,250.00","42,880.00","42,985.00","41,815.00",8.00K,-0.33%
22-Mar-22,"42,390.00","41,335.00","43,490.00","40,885.00",10.06K,2.84%
21-Mar-22,"41,220.00","41,445.00","41,595.00","40,555.00",5.71K,-0.16%
20-Mar-22,"41,285.00","41,872.50","41,872.50","41,227.50",-,-1.92%
18-Mar-22,"42,095.00","41,050.00","42,360.00","40,180.00",5.11K,2.96%
17-Mar-22,"40,885.00","41,200.00","41,520.00","40,570.00",2.55K,-0.09%
16-Mar-22,"40,920.00","39,725.00","41,765.00","38,810.00",8.47K,2.92%
15-Mar-22,"39,760.00","38,725.00","39,935.00","38,085.00",4.60K,2.40%
14-Mar-22,"38,830.00","38,725.00","39,340.00","37,495.00",4.21K,2.81%
13-Mar-22,"37,770.00","38,880.00","38,880.00","37,505.00",-,-1.45%
11-Mar-22,"38,325.00","39,530.00","40,260.00","38,240.00",5.47K,-3.29%
10-Mar-22,"39,630.00","42,055.00","42,245.00","38,555.00",5.92K,-5.46%
9-Mar-22,"41,920.00","38,540.00","42,715.00","38,540.00",7.47K,8.87%
8-Mar-22,"38,505.00","38,110.00","39,410.00","37,895.00",5.23K,2.57%
7-Mar-22,"37,540.00","39,060.00","39,540.00","37,180.00",5.83K,-2.07%
6-Mar-22,"38,335.00","39,377.50","39,377.50","38,135.00",-,-3.06%
4-Mar-22,"39,545.00","42,495.00","42,640.00","39,090.00",5.66K,-6.02%
3-Mar-22,"42,080.00","44,205.00","44,325.00","41,870.00",6.11K,-4.20%
2-Mar-22,"43,925.00","44,205.00","45,455.00","43,420.00",6.40K,-0.71%
1-Mar-22,"44,240.00","43,100.00","45,110.00","42,930.00",8.75K,12.85%
